Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36
1.00091261820323,0,0.203425401438461,0.173914282395218,0.00189264490360825,-0.0602315917719203,0.0766083761192142,-0.404344411108866,-0.00850509187578186,0.00244150490063293,0.00505493788114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.101815774757584,0.0782195757075952,0.0428572281902334,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
1.00035493811506,0,0.157620651556567,0.132464319694281,0.00143535981828899,-0.0601050757719203,0.0749374961192141,-0.375767391108866,-0.00908029867578186,0.00255280960063293,0.00487315918114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.100999787366621,0.0752132108002914,0.0369978205222889,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
1.00008794483159,0,0.0912074795690383,0.0767435435130179,0.000831835047545694,-0.0531291107719203,0.102864166119214,-0.402104611108866,-0.00939556607578186,0.00202399740063293,0.00477074328114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.100147186648491,0.0720977939277813,0.0310177336538817,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
0.999980515613117,0,0.108868738370176,0.0878807180491597,0.000942310065811067,-0.0440533027719203,0.0745953261192141,-0.371295951108866,-0.00826363417578186,0.00199667130063293,0.00516751218114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.0992582816785894,0.0688778421466933,0.0249364733854019,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
0.979465762183627,0,0.185038441534044,0.145578512614603,0.00155011951313303,-0.0679025947719203,0.0359019561192142,-0.311139581108866,-0.00772416907578186,0.00297353780063293,0.00464335518114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.0983333946929245,0.0655580240792796,0.0187738755238416,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
0.826697384285237,1.94843868831105e-05,0.190199350817687,0.148746271002912,0.00158122377600755,-0.0697007487719203,0.0732347861192141,-0.257739714108866,-0.00828246987578186,0.00315106283063293,0.00423433595114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.0973728609713096,0.0621431531443601,0.0125500411825152,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
0.535937546984263,0.0205342378163734,0.132105240306939,0.10313199990138,0.00109579125019586,-0.0746733437719203,0.0403121161192141,-0.300563371108866,-0.00873773237578186,0.00315852129063293,0.00415211165114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.0963770287158185,0.0586381805783255,0.00628527121540597,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
0.240450100214486,0.173302615714763,0.0664708232644432,0.0517657284695078,0.000260534759952102,-0.0692164767719203,0.0878804061192141,-0.315177681108866,-0.00933789227578186,0.00330588481063293,0.00371214780114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.0953462589245592,0.055048188256318,-1.70600211675282e-17,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
0.0295566554948654,0.464062453015737,0.0608976526452487,0.0150920000053668,-0.0842428521729346,-0.0643548287719203,0.0704710961192141,-0.325842321108866,-0.00913243817578186,0.00294134040063293,0.00363804498114747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.0942809252608097,0.0513783813239978,-0.00628527121540595,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
-0.0877584659450402,0.759549899785514,0.149309714410577,-0.00611956845058549,-0.319826896686899,-0.0584979767719203,0.0935895761192142,-0.339661151108866,-0.00962396127578186,0.00250995400063293,0.00342662698914747,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,0.0931814139175609,0.0476340806505797,-0.0125500411825152,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-1.21956317098976e-18,2.46716227694479e-18,6.4482650420148e-19,-0.166666666666667,0.833333333333333,-0.166666666666667,-0.166666666666667,-0.166666666666667,-0.166666666666667,1
